symbol	timestamp	timeframe	open	high	low	close
XAUUSD	2025.11.21 16:00	4H	4079.55	4101.25	4055.15	4085.52
XAUUSD	2025.11.21 20:00	4H	4085.45	4092.28	4054.55	4065.21
XAUUSD	2025.11.24 00:00	4H	4069.36	4077.76	4042.64	4044.50
XAUUSD	2025.11.24 04:00	4H	4044.09	4061.15	4039.89	4046.32
XAUUSD	2025.11.24 08:00	4H	4046.30	4074.20	4045.28	4071.84
XAUUSD	2025.11.24 12:00	4H	4071.89	4086.06	4063.18	4077.74
XAUUSD	2025.11.24 16:00	4H	4077.93	4100.39	4068.49	4092.80
XAUUSD	2025.11.24 20:00	4H	4092.91	4139.97	4087.99	4134.57
XAUUSD	2025.11.25 00:00	4H	4135.30	4144.36	4122.46	4134.75
XAUUSD	2025.11.25 04:00	4H	4134.59	4155.61	4132.89	4150.95
XAUUSD	2025.11.25 08:00	4H	4150.93	4151.96	4109.01	4128.46
XAUUSD	2025.11.25 12:00	4H	4128.41	4150.88	4115.99	4147.87
XAUUSD	2025.11.25 16:00	4H	4147.69	4159.28	4111.53	4146.09
XAUUSD	2025.11.25 20:00	4H	4146.08	4150.73	4127.61	4130.59
XAUUSD	2025.11.26 00:00	4H	4134.09	4152.87	4129.74	4148.43
XAUUSD	2025.11.26 04:00	4H	4148.37	4169.35	4147.34	4162.25
XAUUSD	2025.11.26 08:00	4H	4162.12	4168.46	4146.60	4162.72
XAUUSD	2025.11.26 12:00	4H	4162.81	4173.45	4149.04	4153.16
XAUUSD	2025.11.26 16:00	4H	4153.30	4169.61	4136.70	4167.18
XAUUSD	2025.11.26 20:00	4H	4167.21	4171.64	4157.96	4163.65
XAUUSD	2025.11.27 00:00	4H	4163.05	4168.86	4148.74	4154.25
XAUUSD	2025.11.27 04:00	4H	4154.63	4156.15	4142.58	4147.23
XAUUSD	2025.11.27 08:00	4H	4147.25	4167.19	4147.14	4158.70
XAUUSD	2025.11.27 12:00	4H	4159.09	4162.43	4149.26	4154.93
XAUUSD	2025.11.27 16:00	4H	4155.05	4161.81	4151.43	4157.72
XAUUSD	2025.11.27 20:00	4H	4157.71	4160.38	4154.36	4155.27
XAUUSD	2025.11.28 00:00	4H	4158.28	4193.00	4157.95	4191.09
