symbol	timestamp	timeframe	open	high	low	close
XAUUSD	2026.01.30 00:00	4H	5376.32	5450.96	5290.79	5301.47
XAUUSD	2026.01.30 04:00	4H	5301.47	5312.68	5112.34	5184.98
XAUUSD	2026.01.30 08:00	4H	5184.98	5205.38	4941.99	5013.67
XAUUSD	2026.01.30 12:00	4H	5013.62	5145.74	4992.37	5019.54
XAUUSD	2026.01.30 16:00	4H	5019.54	5113.56	4800.88	4850.00
XAUUSD	2026.01.30 20:00	4H	4850.00	4947.93	4682.18	4894.47
XAUUSD	2026.02.02 00:00	4H	4773.75	4884.64	4584.54	4737.07
XAUUSD	2026.02.02 04:00	4H	4737.04	4773.01	4498.25	4549.57
XAUUSD	2026.02.02 08:00	4H	4549.58	4731.59	4402.14	4719.58
XAUUSD	2026.02.02 12:00	4H	4719.58	4812.64	4657.46	4706.15
XAUUSD	2026.02.02 16:00	4H	4706.15	4794.23	4596.20	4673.98
XAUUSD	2026.02.02 20:00	4H	4673.98	4712.85	4618.36	4658.60
XAUUSD	2026.02.03 00:00	4H	4658.60	4856.59	4658.60	4841.67
XAUUSD	2026.02.03 04:00	4H	4841.67	4842.31	4745.49	4825.15
XAUUSD	2026.02.03 08:00	4H	4825.15	4949.84	4816.72	4916.09
XAUUSD	2026.02.03 12:00	4H	4916.24	4950.99	4883.80	4932.76
XAUUSD	2026.02.03 16:00	4H	4932.83	4993.77	4893.75	4929.08
XAUUSD	2026.02.03 20:00	4H	4929.08	4964.35	4880.86	4946.26
XAUUSD	2026.02.04 00:00	4H	4946.26	5053.66	4910.22	5046.62
XAUUSD	2026.02.04 04:00	4H	5046.62	5090.46	5035.52	5079.57
XAUUSD	2026.02.04 08:00	4H	5079.57	5091.94	5043.17	5060.02
XAUUSD	2026.02.04 12:00	4H	5060.02	5064.51	5013.69	5053.98
XAUUSD	2026.02.04 16:00	4H	5054.03	5059.12	4854.54	4898.16
XAUUSD	2026.02.04 20:00	4H	4898.16	4970.74	4873.01	4965.57
XAUUSD	2026.02.05 00:00	4H	4965.57	5023.80	4936.10	4958.89
XAUUSD	2026.02.05 04:00	4H	4958.91	4962.14	4788.86	4896.42
